id;name;stock;price;image;quantity
435859;Bebida Coca-Cola original 591 ml;10;1100;file:/Users/davidmunozgaete/Documents/Git/winpadel/point-of-sale-app/winpadel/db/assets/products/435859.webp;1
470793;Bebida Coca-Cola sin azúcar 591 ml;10;1100;file:/Users/davidmunozgaete/Documents/Git/winpadel/point-of-sale-app/winpadel/db/assets/products/470793.webp;9
480697;Chocolate Peanut 53 g;10;890;file:/Users/davidmunozgaete/Documents/Git/winpadel/point-of-sale-app/winpadel/db/assets/products/480697.webp;1
